"","df.Sighting","df.Date","df.Year","df.Group","df.Location","df.lat","df.lon","df.Species","u.valid_name","u.kingdom","u.phylum","u.order","u.family","u.genus"
"1203","2014S0005","2014-01-30","2014","Others","Tuen Mun River Channel",22.3802461981051,113.967895846052,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1207","2014S0007","2014-04-08","2014","Others","Yim Tin Tsai East fish culture zone and Tai Mei Tuk",22.4630449402915,114.22731468134,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1212","2014S0008","2014-04-09","2014","Others","Tolo Harbour(including Yim Tin Tsai and Yung Shue Au Fish Culture Zone)",22.4440233671327,114.240064006728,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1214","2014S0010","2014-04-10","2014","Others","Sha Tau Kok fish culture zone",22.5378598096926,114.225145228688,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1228","2014S0019","2014-05-01","2014","Others","Pui O Beach, Lantau Island",22.2388503692224,113.973877029522,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1229","2014S0021","2014-05-02","2014","Others","Silver Mine Bay Beach, Lantau Island",22.270549979,114.000046336176,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1237","2014S0027","2014-05-23","2014","Dinoflagellates","Yim Tin Tsai (East) Fish Culture Zone",22.4615127038542,114.214859622717,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1238","2014S0027","2014-05-23","2014","Others","Yim Tin Tsai (East) Fish Culture Zone",22.4615127038542,114.214859622717,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1269","2014S0058","2014-10-12","2014","Others","Shing Mun River from Hong Kong Heritage Museum to Banyan Bridge",22.3801234794971,114.192068024448,"Chattonella ","Chattonellales","Chromista","Ochrophyta","Chattonellales",NA,NA
"1321","2015S0021","2015-02-26","2015","Dinoflagellates","Tolo Harbour to Three Fathoms Cove including YTT, YTTE and YSA FCZ",22.4449739901268,114.239656916513,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"1388","2016S0022","2016-02-18","2016","Others","Tathong Channel to Lei Yue Mun including Tung Lung Chau Fish Culture Zone",22.2633181711712,114.263340514367,"Dictyocha octonaria",NA,NA,NA,NA,NA,NA
"1392","2016S0023","2016-02-19","2016","Others","Port Shelter, Sai Kung",22.3383898066865,114.276288982611,"Dictyocha octonaria",NA,NA,NA,NA,NA,NA
"1393","2016S0024","2016-02-19","2016","Others","Long Harbour",22.4558941446913,114.343016762526,"Dictyocha octonaria",NA,NA,NA,NA,NA,NA
"1466","2016S0091","2016-09-06","2016","Dinoflagellates","Rocky Harbour including Tai Tau Chau Fish Culture Zone",22.3479868415313,114.334491317106,"Neoceratium furca",NA,NA,NA,NA,NA,NA
"1512","2017S0040","2017-06-22","2017","Diatom","Tolo Harbour including Yim Tin Tsai Fish Culture Zone",22.4524030722858,114.206670916881,"Chaetoceros salsugineum","Chaetoceros salsugineum DNA virus 01","Viruses",NA,NA,NA,"Bacilladnavirus"
